space,date,demand
1236,2013-11-10,156.119560185183
1236,2013-11-11,233.110243055533
1236,2013-11-12,288.71221064815
1236,2013-11-13,200.626041666683
1236,2013-11-14,275.791666666667
1236,2013-11-15,290.319849537033
1236,2013-11-16,164.540219907383
1236,2013-11-17,190.980613425917
1236,2013-11-18,413.20283564815
1236,2013-11-19,467.223263888917
1236,2013-11-20,511.4566550926
1236,2013-11-21,508.1734375
1236,2013-11-22,402.8902199074
1236,2013-11-23,156.570949074067
1236,2013-11-24,168.557696759267
1236,2013-11-25,377.053993055567
1236,2013-11-26,349.756134259267
1236,2013-11-27,297.9129050926
1236,2013-11-28,284.14733796295
1236,2013-11-29,260.835011574067
1236,2013-11-30,145.81296296295
1236,2013-12-01,135.490509259233
1236,2013-12-02,542.75381944445
1236,2013-12-03,564.92355324075
1236,2013-12-04,582.672222222233
1236,2013-12-05,635.3695023148
1236,2013-12-06,630.7732060185
1236,2013-12-07,539.0532986111
1236,2013-12-08,515.9851273148
1236,2013-12-09,720.851909722217
1236,2013-12-10,610.464988425917
1236,2013-12-11,509.083564814833
1236,2013-12-12,433.09890046295
1236,2013-12-13,334.520659722217
1236,2013-12-14,160.523379629617
1236,2013-12-15,159.046238425917
1236,2013-12-16,422.48315972225
1236,2013-12-17,384.737442129617
1236,2013-12-18,433.314525462933
1236,2013-12-19,544.104571759267
1236,2013-12-20,557.748495370367
1236,2013-12-21,392.173958333317
1236,2013-12-22,341.054629629633
1236,2013-12-23,403.460416666667
1236,2013-12-24,413.551041666667
1236,2013-12-25,204.401909722233
1236,2013-12-26,210.59855324075
1236,2013-12-27,375.894733796283
1236,2013-12-28,213.2357060185
1236,2013-12-29,236.76394675925
1236,2013-12-30,457.200289351833
1244,2013-01-01,740.496745370367
1244,2013-01-02,971.019603801017
1244,2013-01-03,971.526175154317
1244,2013-01-04,925.832738969067
1244,2013-01-05,715.377612521717
1244,2013-01-06,697.156816907783
1244,2013-01-07,894.477871697783
1244,2013-01-08,898.673733796283
1244,2013-01-09,907.67105263925
1244,2013-01-10,960.922003298633
1244,2013-01-11,984.2375277778
1244,2013-01-12,843.9687349537
1244,2013-01-13,798.00860030865
1244,2013-01-14,1024.99487075618
1244,2013-01-15,949.383088171667
1244,2013-01-16,935.136181504267
1244,2013-01-17,934.871883886833
1244,2013-01-18,935.834511365367
1244,2013-01-19,771.148498086483
1244,2013-01-20,745.1965843094
1244,2013-01-21,1008.56129662795
1244,2013-01-22,988.10344290125
1244,2013-01-23,951.6071415895
1244,2013-01-24,969.157059539733
1244,2013-01-25,936.959115179617
1244,2013-01-26,752.936501495283
1244,2013-01-27,734.767090663567
1244,2013-01-28,983.5394911265
1244,2013-01-29,895.864030864233
1244,2013-01-30,872.0655023148
1244,2013-01-31,869.6514085648
1244,2013-02-01,889.029953577867
1244,2013-02-02,718.8811508762
1244,2013-02-03,665.071919180767
1244,2013-02-04,864.8533281069
1244,2013-02-05,880.604574284883
1244,2013-02-06,886.419881944433
1244,2013-02-07,897.298278935183
1244,2013-02-08,934.111458121
1244,2013-02-09,743.961596888667
1244,2013-02-10,687.911793940717
1244,2013-02-11,849.86679087085
1244,2013-02-12,884.733970439167
1244,2013-02-13,874.20784396615
1244,2013-02-14,894.0580220602
1244,2013-02-15,864.931216435167
1244,2013-02-16,697.546322264467
1244,2013-02-17,689.012279759133
1244,2013-02-18,922.09430594515
1244,2013-02-19,907.7696500579
1244,2013-02-20,937.655610511217
1244,2013-02-21,901.23091940745
1244,2013-02-22,916.7964398148
1244,2013-02-23,725.08797569445
1244,2013-02-24,681.264089585217
1244,2013-02-25,911.967457175933
1244,2013-02-26,931.83027557035
1244,2013-02-27,902.665665300567
1244,2013-02-28,900.155519675917
1244,2013-03-01,804.954318728333
1244,2013-03-02,669.436896430383
1244,2013-03-03,695.643867635117
1244,2013-03-04,941.274497169433
1244,2013-03-05,897.2940891309
1244,2013-03-06,917.187816906317
1244,2013-03-07,902.04004089505
1244,2013-03-08,895.5075763889
1244,2013-03-09,705.483334490767
1244,2013-03-10,662.247586326333
1244,2013-03-11,902.36049101075
1244,2013-03-12,840.830208203133
1244,2013-03-13,787.334478242267
1244,2013-03-14,794.775052710867
1244,2013-03-15,753.27482707925
1244,2013-03-16,560.078847222233
1244,2013-03-17,587.596145833333
1244,2013-03-18,826.579553734717
1244,2013-03-19,921.93594027215
1244,2013-03-20,768.876349243967
1244,2013-03-21,816.510103796283
1244,2013-03-22,855.6897222222
1244,2013-03-23,699.4424537037
1244,2013-03-24,637.779652777783
1244,2013-03-25,746.909606481483
1244,2013-03-26,712.032897376533
1244,2013-03-27,668.984162808683
1244,2013-03-28,628.994722222233
1244,2013-03-29,532.066365740733
1244,2013-03-30,458.487851080217
1244,2013-03-31,437.3811535494
1244,2013-04-01,518.386828703717
1244,2013-04-02,599.183429783917
1244,2013-04-03,578.921130401267
1244,2013-04-04,580.525694444433
1244,2013-04-05,584.227681195583
1244,2013-04-06,460.8181765133
1244,2013-04-07,460.525625
1244,2013-04-08,632.041709104967
1244,2013-04-09,636.6439814815
1244,2013-04-10,631.094790889083
1244,2013-04-11,630.88733796295
1244,2013-04-12,684.778310185167
1244,2013-04-13,541.922053929933
1244,2013-04-14,521.3973611111
1244,2013-04-15,684.494699074067
1244,2013-04-16,636.31561102785
1244,2013-04-17,629.386168253883
1244,2013-04-18,636.2794936498
1244,2013-04-19,601.9109722222
1244,2013-04-20,470.00636574075
1244,2013-04-21,486.992638888883
1244,2013-04-22,684.767764849883
1244,2013-04-23,718.426470186733
1244,2013-04-24,671.249283179033
1244,2013-04-25,646.561478395067
1244,2013-04-26,633.306763754933
1244,2013-04-27,511.03511574075
1244,2013-04-28,507.402355396033
1244,2013-04-29,719.784192159517
1244,2013-04-30,706.3692066166
1244,2013-05-01,694.25636073485
1244,2013-05-02,632.99504161805
1244,2013-05-03,622.704602789917
1244,2013-05-04,466.84625730195
1244,2013-05-05,424.890958333333
1244,2013-05-06,608.5301563839
1244,2013-05-07,582.223946977
1244,2013-05-08,570.8738587963
1244,2013-05-09,574.021140046317
1244,2013-05-10,565.758546296283
1244,2013-05-11,421.44630621275
1244,2013-05-12,409.8988189195
1244,2013-05-13,641.317594917117
1244,2013-05-14,613.8088125
1244,2013-05-15,602.101370370367
1244,2013-05-16,620.8026238426
1244,2013-05-17,540.129297117667
1244,2013-05-18,456.8964299001
1244,2013-05-19,444.460192129633
1244,2013-05-20,501.059924768517
1244,2013-05-21,638.460386574083
1244,2013-05-22,616.352367192067
1244,2013-05-23,617.670104079867
1244,2013-05-24,605.67170198025
1244,2013-05-25,424.6610500245
1244,2013-05-26,406.0181452286
1244,2013-05-27,608.305670138883
1244,2013-05-28,551.388831106533
1244,2013-05-29,640.738448251433
1244,2013-05-30,607.41300890365
1244,2013-05-31,603.856674768517
1244,2013-06-01,438.545269675933
1244,2013-06-02,418.214774138967
1244,2013-06-03,576.089075231467
1244,2013-06-04,595.6034050926
1244,2013-06-05,599.444805555567
1244,2013-06-06,599.88006892975
1244,2013-06-07,576.079039199467
1244,2013-06-08,428.507290509267
1244,2013-06-09,415.0794513889
1244,2013-06-10,570.285206018533
1244,2013-06-11,565.79878482855
1244,2013-06-12,557.78325
1244,2013-06-13,613.95199421295
1244,2013-06-14,557.719932870383
1244,2013-06-15,436.23492910405
1244,2013-06-16,420.716038194467
1244,2013-06-17,594.30794772095
1244,2013-06-18,579.738418981467
1244,2013-06-19,567.485969092917
1244,2013-06-20,560.341896990767
1244,2013-06-21,557.97728819445
1244,2013-06-22,441.764151620383
1244,2013-06-23,426.766330036367
1244,2013-06-24,578.7352938479
1244,2013-06-25,580.734312688233
1244,2013-06-26,578.355104166683
1244,2013-06-27,580.141779908467
1244,2013-06-28,586.994647082533
1244,2013-06-29,457.790058853
1244,2013-06-30,446.20469774465
1244,2013-07-01,572.707922412167
1244,2013-07-02,641.943166666667
1244,2013-07-03,608.162202105733
1244,2013-07-04,607.030408566917
1244,2013-07-05,586.194455409917
1244,2013-07-06,457.394738425933
1244,2013-07-07,437.7361014591
1244,2013-07-08,621.7066261574
1244,2013-07-09,644.987155632967
1244,2013-07-10,615.008750189783
1244,2013-07-11,589.81760378925
1244,2013-07-12,579.002502251567
1244,2013-07-13,444.419999939283
1244,2013-07-14,427.05787928575
1244,2013-07-15,609.969135928517
1244,2013-07-16,635.941236111117
1244,2013-07-17,636.474980286217
1244,2013-07-18,625.63638161265
1244,2013-07-19,621.660286708683
1244,2013-07-20,456.9450474537
1244,2013-07-21,416.703165509267
1244,2013-07-22,627.005026620367
1244,2013-07-23,645.831135344133
1244,2013-07-24,644.32673958335
1244,2013-07-25,626.0271875
1244,2013-07-26,595.027940622783
1244,2013-07-27,438.297165509267
1244,2013-07-28,417.516370245433
1244,2013-07-29,596.338230059967
1244,2013-07-30,601.05007291665
1244,2013-07-31,597.986951388883
1244,2013-08-01,592.43098016805
1244,2013-08-02,558.071020110967
1244,2013-08-03,433.317122924
1244,2013-08-04,418.6292432655
1244,2013-08-05,509.086285872933
1244,2013-08-06,600.6783294108
1244,2013-08-07,605.696087482533
1244,2013-08-08,615.813857083467
1244,2013-08-09,601.97036574075
1244,2013-08-10,442.577707353083
1244,2013-08-11,409.558240216083
1244,2013-08-12,610.638915047767
1244,2013-08-13,609.228458982667
1244,2013-08-14,593.32496296295
1244,2013-08-15,587.575192129633
1244,2013-08-16,585.5542037037
1244,2013-08-17,440.325211805567
1244,2013-08-18,407.87014814815
1244,2013-08-19,565.222432506033
1244,2013-08-20,554.46022569445
1244,2013-08-21,603.286669565317
1244,2013-08-22,612.983325261967
1244,2013-08-23,588.01686805555
1244,2013-08-24,429.092561998017
1244,2013-08-25,404.136310185183
1244,2013-08-26,568.568483047533
1244,2013-08-27,583.747241748833
1244,2013-08-28,587.26604714105
1244,2013-08-29,582.771711392983
1244,2013-08-30,574.70527724195
1244,2013-08-31,439.4891416632
1244,2013-09-01,410.86046685205
1244,2013-09-02,474.504983388017
1244,2013-09-03,580.161017361117
1244,2013-09-04,578.812915275617
1244,2013-09-05,581.45047916665
1244,2013-09-06,577.214994649383
1244,2013-09-07,431.115692129633
1244,2013-09-08,411.923028935167
1244,2013-09-09,594.528641203717
1244,2013-09-10,605.282297453717
1244,2013-09-11,625.356325017383
1244,2013-09-12,621.397150187067
1244,2013-09-13,596.143920138883
1244,2013-09-14,428.503463376717
1244,2013-09-15,409.466008973767
1244,2013-09-16,574.104381634867
1244,2013-09-17,569.136753440767
1244,2013-09-18,562.7056036154
1244,2013-09-19,572.0573076192
1244,2013-09-20,553.736340397167
1244,2013-09-21,440.284011574067
1244,2013-09-22,410.053261645833
1244,2013-09-23,555.983998046733
1244,2013-09-24,563.301728009267
1244,2013-09-25,557.094672453717
1244,2013-09-26,583.926940972233
1244,2013-09-27,562.634054855233
1244,2013-09-28,441.304613406333
1244,2013-09-29,422.4732462506
1244,2013-09-30,746.027558029983
1244,2013-10-01,886.275930118783
1244,2013-10-02,864.9329646492
1244,2013-10-03,847.124031850933
1244,2013-10-04,846.848409496567
1244,2013-10-05,611.203625534067
1244,2013-10-06,602.227758870517
1244,2013-10-07,816.714655913767
1244,2013-10-08,823.444146604967
1244,2013-10-09,810.678950056233
1244,2013-10-10,789.500395363967
1244,2013-10-11,823.6827315916
1244,2013-10-12,631.597923264467
1244,2013-10-13,631.816542220333
1244,2013-10-14,749.516474922333
1244,2013-10-15,793.967662114417
1244,2013-10-16,883.649246579367
1244,2013-10-17,921.41935185185
1244,2013-10-18,905.361018874633
1244,2013-10-19,758.957713378
1244,2013-10-20,719.77128703705
1244,2013-10-21,919.544751157433
1244,2013-10-22,920.6177488426
1244,2013-10-23,888.936117900183
1244,2013-10-24,869.897028267783
1244,2013-10-25,842.552704523933
1244,2013-10-26,685.947153726483
1244,2013-10-27,633.68816874535
1244,2013-10-28,847.664516070217
1244,2013-10-29,906.6128511119
1244,2013-10-30,859.40673709055
1244,2013-10-31,817.434606042533
1244,2013-11-01,806.605317911117
1244,2013-11-02,680.39964814815
1244,2013-11-03,707.499808333333
1244,2013-11-04,1037.56028279322
1244,2013-11-05,1104.55300308642
1244,2013-11-06,1080.68564313272
1244,2013-11-07,1040.0723710612
1244,2013-11-08,1018.08813200038
1244,2013-11-09,858.078883124483
1244,2013-11-10,834.652571178517
1244,2013-11-11,838.564359416567
1244,2013-11-12,1003.49635839015
1244,2013-11-13,992.1302481229
1244,2013-11-14,1006.87616080305
1244,2013-11-15,1027.46265410735
1244,2013-11-16,888.8441992228
1244,2013-11-17,830.57002763375
1244,2013-11-18,1037.89691782408
1244,2013-11-19,1145.44302073877
1244,2013-11-20,1191.11359187333
1244,2013-11-21,1144.61100668522
1244,2013-11-22,1096.63144203185
1244,2013-11-23,889.8064760479
1244,2013-11-24,854.236219907417
1244,2013-11-25,1130.38184799808
1244,2013-11-26,1110.91507897702
1244,2013-11-27,1043.974926387
1244,2013-11-28,1054.53533564815
1244,2013-11-29,992.932650462967
1244,2013-11-30,833.810472222233
1244,2013-12-01,804.196679398133
1244,2013-12-02,1119.3924382716
1244,2013-12-03,1144.69986612655
1244,2013-12-04,1177.1468912037
1244,2013-12-05,1207.04922386722
1244,2013-12-06,1217.55521455533
1244,2013-12-07,1028.11855530198
1244,2013-12-08,991.662805993683
1244,2013-12-09,1241.33230219422
1244,2013-12-10,1165.53991220838
1244,2013-12-11,1129.80062009785
1244,2013-12-12,1061.88845357688
1244,2013-12-13,1043.45957268512
1244,2013-12-14,770.093917427967
1244,2013-12-15,734.854306712967
